,No,State,Constituency,Candidate Name,Party,No of Criminal Cases,lat,lon
0,1,Telangana,Adilabad,Soyam Bapu Rao,BJP,52,19.6759452,78.5339895
1,2,Uttar Pradesh,Agra,Satyapal Singh Baghel,BJP,5,27.1752554,78.0098161
2,3,Maharashtra,Ahmadnagar,Sujay Radhakrishna Vikhe,BJP,0,19.074352,74.7219979
3,4,Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,BJP,0,23.0216238,72.5797068
4,5,Gujarat,Ahmedabad West,Dr. Kirit P. Solanki,BJP,0,23.0216238,72.5797068
5,6,Rajasthan,Ajmer,Bhagirath Chaudhary,BJP,0,26.4691,74.639
6,7,Uttar Pradesh,Akbarpur,Devendra Singh,BJP,0,26.4200687,82.5382541
7,8,Maharashtra,Akola,Dhotre Sanjay Shamrao,BJP,1,20.718256500000003,77.12129191485398
8,9,Kerala,Alappuzha,Adv. A M Ariff,CPI(M),2,9.4980001,76.333482
9,10,Kerala,Alathur,Ramya Haridas,INC,3,10.6458971,76.5436079
10,11,Uttar Pradesh,Aligarh,Satish Kumar Gautam,BJP,0,27.833333,78.166667
11,12,West Bengal,Alipurduars,John Barla,BJP,9,26.4838,89.535
12,13,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,BJP,6,25.4381302,81.8338005
13,14,Uttarakhand,Almora,Ajay Tamta,BJP,0,29.6016827,79.6633829
14,15,Rajasthan,Alwar,Balak Nath,BJP,0,31.403611,45.197222
15,16,Andhra Pradesh,Amalapuram,Chinta Anuradha,YSRCP,0,16.5777179,82.0032621
16,17,Haryana,Ambala,Rattan Lal Kataria,BJP,0,30.3843674,76.770421
17,18,Uttar Pradesh,Ambedkar Nagar,Ritesh Pandey,BSP,1,26.40349795,82.60728148676125
18,19,Uttar Pradesh,Amethi,Smriti Irani,BJP,0,26.164220399999998,81.88274753325459
19,20,Maharashtra,Amravati,Navnit Ravi Rana,IND,1,20.981685849999998,77.79885322586804
20,21,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,BJP,0,21.5981407,71.2102139
21,22,Punjab,Amritsar,Gurjeet Singh Aujla,INC,0,31.6343083,74.8736788
22,23,Uttar Pradesh,Amroha,Kunwar Danish Ali,BSP,0,28.90662,78.4707309
23,24,Andhra Pradesh,Anakapalli,Dr.beesetti Venkata Satyavathi,YSRCP,0,17.6858653,82.9884187
24,25,Gujarat,Anand,Patel Mitesh Rameshbhai (bakabhai),BJP,2,22.5584995,72.9625629
25,26,Punjab,Anandpur Sahib,Manish Tewari,INC,0,31.2299862,76.5005778
26,27,Andhra Pradesh,Anantapur,Talari Rangaiah,YSRCP,2,14.6546235,77.55625984224562
27,28,Jammu & Kashmir,Anantnag,Hasnain Masoodi,JKNC,0,33.746109950000005,75.18544753143254
28,29,Andaman & Nicobar Islands,Andaman And Nicobar Islands,Kuldeep Rai Sharma,INC,0,10.2188344,92.5771329
29,30,Uttar Pradesh,Aonla,Dharmendra Kashyap,BJP,0,28.2729454,79.1626658
30,31,Tamil Nadu,Arakkonam,S. Jagathrakshakan,DMK,2,13.0841402,79.6703816
31,32,West Bengal,Arambagh,Aparupa Poddar (afrin Ali),AITC,1,22.876448,87.790956
32,33,Tamil Nadu,Arani,Vishnu Prasad M K,INC,1,11.1271,78.6569
33,34,Bihar,Araria,Pradeep Kumar Singh,BJP,3,26.157209950000002,87.46505969990433
34,35,Bihar,Arrah,R. K. Singh,BJP,1,25.5602783,84.6612398
35,36,Andhra Pradesh,Aruku,Goddeti Madhavi,YSRCP,0,1.783333,127.633333
36,37,Arunachal Pradesh,Arunachal East,Tapir Gao,BJP,0,24.8554575,92.7429625
37,38,Arunachal Pradesh,Arunachal West,Kiren Rijiju,BJP,0,27.08793205,93.6102638735841
38,39,West Bengal,Asansol,Babul Supriya Baral,BJP,4,23.6871297,86.9746587
39,40,Odisha,Aska,Pramila Bisoyi,BJD,0,67.3028646,26.684095
40,41,Kerala,Attingal,Adv. Adoor Prakash,INC,7,8.6943917,76.8191784
41,42,Bihar,Aurangabad,Sushil Kumar Singh,BJP,3,19.877263,75.3390241
42,43,Maharashtra,Aurangabad,Imtiaz Jaleel Syed,AIMIM,4,19.877263,75.3390241
43,44,Assam,Autonomous District,Horen Sing Bey,BJP,2,45.2459585,19.8323997
44,45,Uttar Pradesh,Azamgarh,Akhilesh Yadav,SP,0,26.0,83.0
45,46,Uttar Pradesh,Badaun,Dr. Sanghmitra Maurya,BJP,2,5.5315266,115.7810597
46,47,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,BJP,0,16.1793224,75.6999315
47,48,Uttar Pradesh,Baghpat,Dr. Satyapal Singh,BJP,1,28.97240405,77.33315284938224
48,49,West Bengal,Baharampur,Adhir Ranjan Chowdhury,INC,7,24.3795759,88.58557279234097
49,50,Uttar Pradesh,Bahraich,Akshaibar Lal,BJP,0,27.49816515,81.795476739734
50,51,Madhya Pradesh,Balaghat,Dr Dhal Singh Bisen,BJP,0,21.966667,80.333333
51,52,Odisha,Balasore,Pratap Chandra Sarangi,BJP,7,21.5002888,86.9202627
52,53,Uttar Pradesh,Ballia,Virendra Singh,BJP,2,25.833333,84.166667
53,54,West Bengal,Balurghat,Sukanta Majumdar,BJP,0,25.2234352,88.7780654
54,55,Gujarat,Banaskantha,Parbatbhai Savabhai Patel,BJP,0,24.172056,72.431134
55,56,Uttar Pradesh,Banda,R.k. Singh Patel,BJP,2,2.74037,45.66942
56,57,Karnataka,Bangalore Central,P. C. Mohan,BJP,0,12.97339325,77.61123426914668
57,58,Karnataka,Bangalore North,D.v. Sadananda Gowda,BJP,0,12.9791198,77.5912997
58,59,Karnataka,Bangalore Rural,D.k. Suresh,INC,5,13.0010872,77.3361225
59,60,Karnataka,Bangalore South,Tejasvi Surya,BJP,0,12.862467899999999,77.56089325971044
60,61,West Bengal,Bangaon,Shantanu Thakur,BJP,8,23.0429719,88.8313366
61,62,Bihar,Banka,Giridhari Yadav,JD(U),1,24.8655681,86.87278642295597
62,63,West Bengal,Bankura,Dr. Subhas Sarkar,BJP,1,23.25,87.25
63,64,Uttar Pradesh,Bansgaon,Kamlesh Paswan,BJP,5,26.5504353,83.3498616
64,65,Rajasthan,Banswara,Kanakmal Katara,BJP,0,23.5,74.333333
65,66,Andhra Pradesh,Bapatla,Nandigam Suresh,YSRCP,0,15.9052608,80.4680501
66,67,Uttar Pradesh,Bara Banki,Upendra Singh Rawat,BJP,1,26.9013312,81.2151601
67,68,Maharashtra,Baramati,Supriya Sule,NCP,0,18.1478834,74.5733979
68,69,Jammu & Kashmir,Baramulla,Mohammad Akbar Lone,JKNC,0,34.2086903,74.343498
69,70,West Bengal,Barasat,Dr. Kakoli Ghoshdastidar,AITC,2,22.7176238,88.4889529
70,71,West Bengal,Bardhaman Purba,Sunil Kumar Mondal,AITC,0,23.244051,87.8689422
71,72,Gujarat,Bardoli,Parbhubhai Nagarbhai Vasava,BJP,0,21.1220023,73.1135988
72,73,Uttar Pradesh,Bareilly,Santosh Kumar Gangwar,BJP,0,28.457876,79.40557093743058
73,74,Odisha,Bargarh,Suresh Pujari,BJP,0,21.3474637,83.65427922282043
74,75,Rajasthan,Barmer,Kailash Choudhary,BJP,2,25.75,71.5
75,76,Assam,Barpeta,Abdul Khaleque,INC,0,26.34142215,91.01674328474073
76,77,West Bengal,Barrackpore,Arjun Singh,BJP,24,22.7603363,88.3710985
77,78,West Bengal,Basirhat,Nusrat Jahan Ruhi,AITC,0,22.6611962,88.8660215
78,79,Chhattisgarh,Bastar,Deepak Baij,INC,1,19.2092928,81.9326448
79,80,Uttar Pradesh,Basti,Harish Chandra Alias Harish Dwivedi,BJP,5,26.724789,82.79326865024002
80,81,Maharashtra,Beed,Pritam Gopinathrao Munde,BJP,1,18.9678704,75.7719762
81,82,Bihar,Begusarai,Giriraj Singh,BJP,6,25.4138614,86.1348858
82,83,Karnataka,Belgaum,Angadi Suresh Channabasappa,BJP,0,15.8572666,74.5069343
83,84,Karnataka,Bellary,Y. Devendrappa,BJP,0,15.1467299,76.9125211
84,85,Odisha,Berhampur,Chandra Sekhar Sahu,BJD,0,21.5339688,86.6540622
85,86,Madhya Pradesh,Betul,Durga Das (d.d.) Uikey,BJP,0,21.833333,77.833333
86,87,Uttar Pradesh,Bhadohi,Ramesh Chand,BJP,6,25.3941093,82.5701465
87,88,Odisha,Bhadrak,Manjulata Mandal,BJD,0,21.0633288,86.5053731
88,89,Bihar,Bhagalpur,Ajay Kumar Mandal,JD(U),0,25.2494829,86.9828131
89,90,Maharashtra,Bhandara - Gondiya,Sunil Baburao Mendhe,BJP,2,21.1777,79.657
90,91,Rajasthan,Bharatpur,Ranjeeta Koli,BJP,0,27.2154447,77.4986962
91,92,Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,BJP,0,21.75,73.0
92,93,Punjab,Bhatinda,Harsimrat Kaur Badal,SAD,0,30.25,75.0
93,94,Gujarat,Bhavnagar,Dr.bharatiben Dhirubhai Shiyal,BJP,0,21.7718836,72.1416449
94,95,Rajasthan,Bhilwara,Subhash Chandra Baheria,BJP,0,25.5,74.75
95,96,Madhya Pradesh,Bhind,Sandhya Ray,BJP,0,26.5,78.75
96,97,Maharashtra,Bhiwandi,Kapil Moreshwar Patil,BJP,0,19.3025562,73.0588072
97,98,Haryana,Bhiwani-mahendragarh,Dharambir Singh S/o Bhale Ram,BJP,0,28.7975,76.1322
98,99,Telangana,Bhongir,Komati Reddy Venkat Reddy,INC,14,17.5239764,78.898362
99,100,Madhya Pradesh,Bhopal,Sadhvi Pragya Singh Thakur,BJP,1,23.2584857,77.401989
100,101,Odisha,Bhubaneswar,Aparajita Sarangi,BJP,0,20.2667774,85.8435592
101,102,Karnataka,Bidar,Bhagwanth Khuba,BJP,1,18.083333,77.333333
102,103,Karnataka,Bijapur,Jigajinagi Ramesh Chandappa,BJP,0,16.8269911,75.7175387
103,104,Uttar Pradesh,Bijnor,Malook Nagar,BSP,7,29.416667,78.516667
104,105,Rajasthan,Bikaner,Arjun Ram Meghwal,BJP,0,28.0159286,73.3171367
105,106,Chhattisgarh,Bilaspur,Arun Sao,BJP,0,22.383333,82.133333
106,107,West Bengal,Birbhum,Satabdi Roy (banerjee),AITC,0,24.0,87.583333
107,108,West Bengal,Bishnupur,Khan Saumitra,BJP,6,24.562463649999998,93.8012483746545
108,109,Odisha,Bolangir,Sangeeta Kumari Singh Deo,BJP,0,20.3575202,83.27189643052868
109,110,West Bengal,Bolpur,Asit Kumar Mal,AITC,0,23.661154,87.6962424
110,111,Uttar Pradesh,Bulandshahr,Bhola Singh,BJP,1,28.416667,77.833333
111,112,Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,SHS,3,20.53208,76.179911
112,113,West Bengal,Burdwan - Durgapur,Surendrajeet Singh Ahluwalia,BJP,0,23.5204,87.3119
113,114,Bihar,Buxar,Ashwini Kumar Choubey,BJP,3,25.562071500000002,84.01567204651289
114,115,Kerala,Chalakudy,Benny Behanan,INC,4,10.302391,76.3215544
115,116,Karnataka,Chamarajanagar,V Srinivas Prasad,BJP,0,11.9346006,76.9328209
116,117,Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,BJP,0,25.265616350000002,83.40637372919147
117,118,Chandigarh,Chandigarh,Kirron Kher,BJP,0,30.7194022,76.7646552
118,119,Delhi,Chandni Chowk,Harsh Vardhan,BJP,0,28.6559834,77.2321937
119,120,Maharashtra,Chandrapur,Balubhau Alias Suresh Narayan Dhanorkar,INC,5,20.030975599999998,79.35813866691342
120,121,Jharkhand,Chatra,Sunil Kumar Singh,BJP,0,24.20162495,84.87817691941733
121,122,Telangana,Chelvella,Dr. G. Ranjith Reddy,TRS,0,17.3891,77.8367
122,123,Tamil Nadu,Chennai Central,Dayanidhi Maran,DMK,1,13.0824491,80.2755878
123,124,Tamil Nadu,Chennai North,Dr. Kalanidhi Veeraswamy,DMK,0,13.0801721,80.2838331
124,125,Tamil Nadu,Chennai South,Sumathy (alias) Thamizhachi Thangapandian,DMK,0,13.0801721,80.2838331
125,126,Madhya Pradesh,Chhindwara,Nakul Kamal Nath,INC,0,22.116667,78.8
126,127,Gujarat,Chhota Udaipur,Rathva Gitaben Vajesingbhai,BJP,0,22.3048651,74.0126114
127,128,Tamil Nadu,Chidambaram,Thirumaavalavan Thol,VCK,3,11.3994826,79.6909383
128,129,Karnataka,Chikballapur,B.n.bache Gowda,BJP,0,13.4274405,77.7321433
129,130,Karnataka,Chikkodi,Annasaheb Shankar Jolle,BJP,0,16.4265276,74.5861323
130,131,Karnataka,Chitradurga,A Narayanaswamy,BJP,0,14.2266443,76.4005122
131,132,Andhra Pradesh,Chittoor,N. Reddeppa,YSRCP,0,13.1601048,79.15555061803596
132,133,Rajasthan,Chittorgarh,Chandra Prakash Joshi,BJP,0,24.8837157,74.6244155
133,134,Rajasthan,Churu,Rahul Kaswan,BJP,0,28.5,74.5
134,135,Tamil Nadu,Coimbatore,P R Natarajan,CPI(M),1,11.0018115,76.9628425
135,136,West Bengal,Cooch Behar,Nisith Pramanik,BJP,11,26.33304975,89.47077330329402
136,137,Tamil Nadu,Cuddalore,T. R. V .s. Ramesh,DMK,0,11.74269375,79.75030644171935
137,138,Odisha,Cuttack,Bhartruhari Mahtab,BJD,0,20.4686,85.8792
138,139,Dadra & Nagar Haveli,Dadra And Nagar Haveli,Delkar Mohanbhai Sanjibhai,IND,0,20.2735169,73.0043578
139,140,Gujarat,Dahod,Jashvantsinh Sumanbhai Bhabhor,BJP,0,22.8358542,74.2556782
140,141,Karnataka,Dakshina Kannada,Nalin Kumar Kateel,BJP,4,12.82225975,75.22560110530964
141,142,Daman & Diu,Daman And Diu,Lalubhai Babubhai Patel,BJP,0,20.42000485,72.86376290300566
142,143,Madhya Pradesh,Damoh,Prahalad Singh Patel,BJP,0,23.75,79.583333
143,144,Bihar,Darbhanga,Gopal Jee Thakur,BJP,0,26.156999,85.8995065
144,145,West Bengal,Darjeeling,Raju Bista,BJP,0,27.0383718,88.2617544
145,146,Rajasthan,Dausa,Jaskaur Meena,BJP,0,26.893342,76.3376514
146,147,Karnataka,Davanagere,G M Siddeshwar,BJP,0,14.4661266,75.9206361
147,148,Uttar Pradesh,Deoria,Ramapati Ram Tripathi,BJP,1,26.666667,83.75
148,149,Madhya Pradesh,Dewas,Mahendra Singh Solanky,BJP,0,23.0,76.166667
149,150,Jharkhand,Dhanbad,Pashupati Nath Singh,BJP,0,23.7952809,86.4309638
150,151,Madhya Pradesh,Dhar,Chattarsingh Darbar,BJP,1,22.5,75.25
151,152,Tamil Nadu,Dharmapuri,Dnv Senthilkumar. S.,DMK,1,12.09680475,78.19304301026716
152,153,Karnataka,Dharwad,Pralhad Joshi,BJP,1,15.4540505,75.0066516
153,154,Uttar Pradesh,Dhaurahra,Rekha Verma,BJP,3,27.3565,81.0354
154,155,Odisha,Dhenkanal,Mahesh Sahoo,BJD,1,20.75,85.5
155,156,Assam,Dhubri,Badruddin Ajmal,AIUDF,7,26.01894625,89.94188952461522
156,157,Maharashtra,Dhule,Bhamre Subhash Ramrao,BJP,2,20.879693850000002,74.70337083800928
157,158,West Bengal,Diamond Harbour,Abhishek Banerjee,AITC,0,-43.6490752,172.7245541305474
158,159,Assam,Dibrugarh,Rameswar Teli,BJP,0,27.4844597,94.9019447
159,160,Tamil Nadu,Dindigul,"Velusamy, P.",DMK,0,10.3303299,78.0673979084697
160,161,Maharashtra,Dindori,Dr. Bharati Pravin Pawar,BJP,0,22.9446796,81.0774969
161,162,Uttar Pradesh,Domariyaganj,Jagdambika Pal,BJP,3,27.198094750000003,82.67672525715395
162,163,West Bengal,Dum Dum,Sougata Ray,AITC,1,1.0433013,127.6556777
163,164,Jharkhand,Dumka,Sunil Soren,BJP,0,24.2538512,87.30064714192224
164,165,Chhattisgarh,Durg,Vijay Baghel,BJP,0,21.1897285,81.2746469
